  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numStations    geneticPopulatioSize    geneticNumGenerations    geneticNumBestSelection    geneticTournamentSelectionTreshold    geneticMutationTreshold
-------------  ------------  -----------  -------------  -------------  -----------  -------------  ----------------------  -----------------------  -------------------------  ------------------------------------  -------------------------
          300        643735      119.129      -0.347139        181.703  6.44038e+07            300                      10                       10                          0                                   0.9                     0.0001
          300        643191      117.214      -0.345703        185.937  6.43494e+07            300                      10                       10                          4                                   0.7                     0.0001
          301        640300      119.572      -0.346405        182.106  6.40604e+07            300                      10                       10                          4                                   0.7                     0.01
          301        652122      118.381      -0.348449        177.213  6.52426e+07            300                      10                       10                          0                                   0.7                     0.0001
          301        651122      117.07       -0.345128        180.164  6.51426e+07            300                      10                       10                          0                                   0.7                     0.01
          301        642094      123.65       -0.348028        179.352  6.42398e+07            300                      10                       10                          0                                   0.9                     0.01
          497        595689      119.258      -0.346868        174.756  5.96189e+07            500                      10                       10                          0                                   0.7                     0.0001
          501        596075      117.568      -0.344631        175.474  5.96579e+07            500                      10                       10                          4                                   0.7                     0.01
          501        603875      119.863      -0.347766        177.132  6.04379e+07            500                      10                       10                          4                                   0.7                     0.0001
          501        596762      117.91       -0.346082        179.426  5.97266e+07            500                      10                       10                          0                                   0.9                     0.01
          501        601994      120.705      -0.342147        177.774  6.02498e+07            500                      10                       10                          0                                   0.9                     0.0001
          501        594346      119.251      -0.346998        175.953  5.9485e+07             500                      10                       10                          0                                   0.7                     0.01
          503        606166      119.96       -0.351815        175.667  6.06672e+07            500                      10                       20                          4                                   0.9                     0.01
          503        594541      119.57       -0.350074        179.495  5.95047e+07            500                      10                       10                          4                                   0.9                     0.01
          997        537434      121.002      -0.347096        169.965  5.38434e+07           1000                      10                       10                          4                                   0.9                     0.0001
         1001        526682      116.978      -0.348303        171.512  5.27686e+07           1000                      10                       10                          4                                   0.7                     0.01
         1002        539771      117.683      -0.351354        169.708  5.40776e+07           1000                      10                       10                          0                                   0.7                     0.0001
         1987        500384      120.581      -0.348952        166.762  5.02374e+07           2000                      10                       10                          0                                   0.9                     0.0001
         2001        498323      119.401      -0.347996        164.583  5.00327e+07           2000                      10                       10                          0                                   0.9                     0.01
         2001        506735      116.401      -0.351893        163.702  5.08739e+07           2000                      10                       20                          4                                   0.9                     0.0001
         2002        501407      118.307      -0.350701        163.888  5.03412e+07           2000                      10                       10                          0                                   0.7                     0.01
         2003        495100      120.437      -0.348924        166.565  4.97106e+07           2000                      10                       10                          4                                   0.9                     0.01
         2003        500124      119.262      -0.348537        170.44   5.0213e+07            2000                      10                       10                          0                                   0.7                     0.0001
         2003        502580      115.996      -0.344131        165.209  5.04586e+07           2000                      10                       10                          4                                   0.7                     0.01
         2003        501138      124.042      -0.348426        164.868  5.03144e+07           2000                      10                       10                          4                                   0.9                     0.0001
         3997        506130      119.894      -0.344428        166.125  5.1013e+07            4000                      10                       20                          4                                   0.9                     0.01
         3997        503862      119.417      -0.344008        164.994  5.07862e+07           4000                      10                       20                          4                                   0.7                     0.0001
         3997        501477      122.246      -0.346172        163.307  5.05477e+07           4000                      10                       10                          4                                   0.9                     0.0001
         3997        498228      121.689      -0.34363         163.749  5.02228e+07           4000                      10                       10                          4                                   0.7                     0.01
         3997        496395      119.583      -0.348536        166.684  5.00395e+07           4000                      10                       10                          0                                   0.9                     0.01
         3997        500230      124.143      -0.351196        163.083  5.0423e+07            4000                      10                       10                          0                                   0.9                     0.0001
         3997        499310      119.038      -0.346903        165.55   5.0331e+07            4000                      10                       10                          4                                   0.9                     0.01
         4001        500936      121.131      -0.349956        164.566  5.0494e+07            4000                      10                       10                          4                                   0.7                     0.0001
         4001        497708      118.375      -0.346632        166.119  5.01712e+07           4000                      10                       10                          0                                   0.7                     0.01
         4001        498511      120.57       -0.346032        165.523  5.02515e+07           4000                      10                       10                          0                                   0.7                     0.0001
