  numStat    runDownBat    travDur    battDiff    waitTime    numFinish    numNotFinish    numUsedStat    numStatsCust    notFinis    bestLoss    numStations    geneticNumGenerations    geneticNumBestSelection    geneticTournamentSelectionTreshold    geneticMutationTreshold
---------  ------------  ---------  ----------  ----------  -----------  --------------  -------------  --------------  ----------  ----------  -------------  -----------------------  -------------------------  ------------------------------------  -------------------------
      100          3750    101.079   -0.497449     8.30007        88827            2009             94           12814        5759      385008            100                       10                          0                                   0.9                     0.001
      100          3780    100.458   -0.497445    10.516          87694            1922             96           12556        5702      388010            100                       20                          0                                   0.9                     0.0001
      101          3732    100.519   -0.497452    10.8547         87812            2038             97           14146        5770      383310            100                       10                          0                                   0.7                     0.01
      101          3773    100.59    -0.497386    10.0077         88089            2031             96           12050        5804      387410            100                       10                          4                                   0.7                     0.001
      101          3787    100.94    -0.497414     5.23247        87966            1945             97           12164        5732      388805            100                       10                          4                                   0.7                     0.01
      102          3908    100.544   -0.497446    10.2046         88078            1994             97           11726        5902      401010            100                       20                          4                                   0.9                     0.0001
      102          3763    100.959   -0.497475    10.2587         88384            2027             96           10938        5790      386510            100                       20                          0                                   0.7                     0.0001
      103          3745    100.658   -0.497431    11.1387         88657            1993             98           11382        5738      384811            100                       10                          0                                   0.9                     0.01
      103          3691    100.292   -0.497454     9.35317        88499            2012             99           12482        5703      379409            100                       10                          4                                   0.9                     0.01
      103          3749    100.95    -0.497359     6.11542        88308            1946             98           11472        5695      385206            100                       10                          0                                   0.7                     0.001
      103          3788    100.546   -0.497401     5.01451        88370            2009             99           12344        5797      389105            100                       10                          0                                   0.7                     0.0001
      103          3764    100.43    -0.49738      9.46858        88384            2018            100           12114        5782      386709            100                       20                          0                                   0.9                     0.001
      103          3926    100.745   -0.497427    11.0876         88475            2008             98           12116        5934      402911            100                       20                          0                                   0.9                     0.01
      103          3784    100.363   -0.497412     7.06799        88641            1929            101           11028        5713      388707            100                       20                          4                                   0.7                     0.01
      107          3741    100.748   -0.497403     9.36534        87836            1996             99           12014        5737      384809            100                       10                          4                                   0.7                     0.0001
      115          3651    100.835   -0.497479     6.62603        88840            2032            108           12834        5683      376606            100                       10                          4                                   0.9                     0.001
      115          3707    100.265   -0.49748      5.49542        87804            1924            112           13320        5631      382205            100                       20                          4                                   0.7                     0.0001
      115          3744    101.049   -0.497419     8.49612        88515            1984            109           13944        5728      385908            100                       10                          0                                   0.9                     0.0001
      115          3769    100.566   -0.497524     3.47363        88081            1988            106           13918        5757      388403            100                       10                          4                                   0.9                     0.0001
      115          3868    100.333   -0.497426     3.37261        88506            1926            107           12300        5794      398303            100                       20                          4                                   0.7                     0.001
      115          3854    100.999   -0.497452     5.79085        88147            2040            112           14116        5894      396905            100                       20                          4                                   0.9                     0.001
      115          3830    100.427   -0.497383     8.92219        88071            2015            110           13378        5845      394509            100                       20                          0                                   0.7                     0.001
      115          3760    100.54    -0.497461     3.44065        88583            2017            112           14480        5777      387503            100                       20                          0                                   0.7                     0.01
      115          3751    100.608   -0.497405     3.30192        88538            1927            108           12666        5678      386603            100                       20                          4                                   0.9                     0.01
      274          3458    101.179   -0.49743      9.90521        88444            2070            238           17930        5528      373210            300                       20                          0                                   0.9                     0.0001
      295          3532    100.823   -0.497422    11.8291         88603            2116            257           19330        5648      382711            300                       20                          0                                   0.9                     0.001
      295          3481    101.032   -0.497515    11.344          88787            2096            259           21404        5577      377611            300                       10                          0                                   0.9                     0.01
      300          3422    101.374   -0.497429     9.32823        88972            2089            263           22278        5511      372209            300                       20                          4                                   0.9                     0.0001
      300          3491    101.398   -0.497379    10.3635         88321            2029            266           24062        5520      379110            300                       20                          4                                   0.7                     0.01
      300          3505    101.112   -0.497456     8.8374         87995            2106            261           20470        5611      380508            300                       20                          4                                   0.7                     0.0001
      300          3487    101.462   -0.497397    10.8039         88423            2132            269           21268        5619      378710            300                       20                          0                                   0.9                     0.01
      300          3434    101.538   -0.497452     8.88188        88598            2090            267           24708        5524      373408            300                       10                          0                                   0.7                     0.001
      300          3473    101.238   -0.497461    11.5139         89095            2103            263           21758        5576      377311            300                       10                          0                                   0.7                     0.01
      300          3427    100.896   -0.497436    10.4562         88310            2053            261           20384        5480      372710            300                       10                          4                                   0.7                     0.0001
      300          3457    101.189   -0.497425    11.1189         88456            2054            255           20018        5511      375711            300                       10                          4                                   0.9                     0.0001
      300          3456    100.826   -0.497455    10.8712         89172            2099            259           21254        5555      375610            300                       10                          4                                   0.9                     0.001
      300          3589    101.398   -0.4974       5.99695        88959            2124            262           22584        5713      388906            300                       20                          0                                   0.7                     0.0001
      300          3508    101.156   -0.497446    12.4332         88898            2111            259           22994        5619      380812            300                       20                          4                                   0.9                     0.01
      300          3457    101.458   -0.497449     8.35645        88935            2129            268           21986        5586      375708            300                       10                          0                                   0.7                     0.0001
      300          3439    101.564   -0.497381    11.5431         88608            2054            262           19698        5493      373911            300                       10                          4                                   0.9                     0.01
      300          3649    101.241   -0.497453    10.0949         88642            2159            263           21642        5808      394910            300                       20                          0                                   0.7                     0.01
      301          3662    101.234   -0.497525    10.1669         88806            2110            265           21072        5772      396310            300                       20                          0                                   0.7                     0.001
      302          3496    101.624   -0.497396    11.942          88176            2107            268           20156        5603      379812            300                       10                          4                                   0.7                     0.01
      302          3467    101.118   -0.497418     8.96208        88070            2112            267           22816        5579      376909            300                       10                          4                                   0.7                     0.001
      302          3413    101.37    -0.497443    10.538          87333            2059            255           21078        5472      371510            300                       10                          0                                   0.9                     0.0001
