  numStat    runDownBat    travDur    battDiff    waitTime    numFinish    numNotFinish    numUsedStat    numStatsCust    notFinis    bestLoss    numStations    greedyNumThrowAway
---------  ------------  ---------  ----------  ----------  -----------  --------------  -------------  --------------  ----------  ----------  -------------  --------------------
       97          3975    100.153   -0.497468     2.32103        88994            1936             97            9990        5911      407202            100                    10
       97          3964    100.062   -0.497499     2.39562        88236            1974             94            9900        5938      406102            100                     1
      100          4056    100.119   -0.49743      1.32837        88014            1948             98           10182        6004      415601            100                     5
      285          3651    100.97    -0.497402     2.3415         88275            1991            234           16502        5642      393602            300                     5
      300          3679    100.96    -0.497427     3.60535        89284            2035            254           17666        5714      397903            300                     1
      300          3662    100.875   -0.497446     3.58768        88867            2099            255           17576        5761      396203            300                    10
      480          3428    101.84    -0.497446     7.14107        88962            2110            337           19154        5538      390807            500                     5
      480          3440    101.478   -0.497432     3.1488         88733            2052            364           20376        5492      392003            500                    10
      500          3347    101.471   -0.497419     3.75678        88741            2045            400           21148        5392      384703            500                     1
      680          3169    101.962   -0.49745      4.50716        88417            2126            448           24340        5295      384904            700                    10
      700          3107    101.923   -0.497422     4.39188        89225            2132            511           24462        5239      380704            700                     5
      700          3177    101.868   -0.497434     4.34124        89255            2116            510           24516        5293      387704            700                     1
      995          2771    103.211   -0.497352     5.85256        89629            2303            570           30962        5074      376605           1000                     5
     1000          2752    102.637   -0.497395     6.27729        89820            2178            640           26834        4930      375206           1000                     1
     1000          2712    102.605   -0.49733      6.42694        89425            2214            647           26726        4926      371206           1000                    10
     2000          2129    103.516   -0.497436     7.20114        91496            2428            992           46988        4557      412907           2000                     5
     2000          2024    103.646   -0.497444     7.10672        91419            2391            997           46494        4415      402407           2000                     1
     2000          2028    103.681   -0.497405     7.22709        91860            2441            994           46862        4469      402807           2000                    10
     3960          1252    105.419   -0.497442     5.54454        92185            2702           1365           71454        3954      521205           4000                    10
     3980          1293    105.243   -0.497443     5.66007        91998            2648           1360           71042        3941      527305           4000                     5
     3996          1274    105.257   -0.49749      5.59811        92022            2751           1360           71214        4025      527005           4000                     1
