  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numStations    kMeansNumIterationsOneRun    kMeansNumGenerations
-------------  ------------  -----------  -------------  -------------  -----------  -------------  ---------------------------  ----------------------
          500        715425      93.7722      -0.310664        172.475  7.15928e+07            500                           50                      50
          500        714368      93.5581      -0.312306        172.342  7.14871e+07            500                           50                      20
          500        715134      94.779       -0.313865        172.413  7.15637e+07            500                           50                      10
          500        716058      93.8815      -0.31405         172.856  7.16561e+07            500                           20                      50
          500        715444      92.0961      -0.312049        172.373  7.15947e+07            500                           20                       2
          500        715497      92.9833      -0.309709        172.41   7.16e+07               500                           20                      20
          500        714626      93.7746      -0.309864        172.663  7.15129e+07            500                           20                      10
          500        715641      94.0965      -0.311048        172.522  7.16144e+07            500                           10                       2
          500        716485      93.0758      -0.310967        172.351  7.16988e+07            500                           10                      20
          500        715307      94.4286      -0.311623        172.796  7.1581e+07             500                           10                      10
          500        715968      92.2674      -0.311572        172.662  7.16471e+07            500                          100                      50
          500        714934      92.7876      -0.31058         172.522  7.15437e+07            500                          100                       2
          500        715790      93.131       -0.312072        172.709  7.16293e+07            500                          100                      20
          500        716645      94.1089      -0.315918        172.66   7.17148e+07            500                          100                      10
          500        716731      94.1051      -0.313203        172.994  7.17234e+07            500                           50                       2
         1000        647294      94.2915      -0.315467        166.799  6.48297e+07           1000                          100                      10
         1000        647715      94.7167      -0.315564        166.876  6.48718e+07           1000                           50                      20
         1000        645418      95.1573      -0.31387         167.038  6.46421e+07           1000                           50                      10
         1000        647815      94.7459      -0.313942        166.95   6.48818e+07           1000                           20                       2
         1000        646305      94.7118      -0.314476        166.693  6.47308e+07           1000                           20                      20
         1000        646227      95.1825      -0.313629        166.826  6.4723e+07            1000                           20                      10
         1000        646651      94.5467      -0.316315        167.106  6.47654e+07           1000                           10                       2
         1000        647657      93.8347      -0.314646        166.997  6.4866e+07            1000                           10                      20
         1000        647301      95.0198      -0.316879        166.849  6.48304e+07           1000                           10                      10
         1000        647005      95.1053      -0.315845        166.666  6.48008e+07           1000                          100                      50
         1000        646864      95.1992      -0.312057        167.064  6.47867e+07           1000                          100                       2
         1000        647027      94.5797      -0.31272         166.735  6.4803e+07            1000                          100                      20
         1000        647420      94.6576      -0.317668        166.761  6.48423e+07           1000                           50                       2
         2000        602676      96.0374      -0.316957        161.916  6.04679e+07           2000                          100                      50
         2000        602486      96.3435      -0.316971        161.889  6.04489e+07           2000                          100                       2
         2000        602996      95.8658      -0.314361        161.919  6.04999e+07           2000                          100                      20
         2000        603201      96.0451      -0.316351        161.667  6.05204e+07           2000                           50                       2
         2000        602091      96.9096      -0.317912        161.735  6.04094e+07           2000                           50                      20
         2000        602498      96.8264      -0.313886        161.927  6.04501e+07           2000                           50                      10
         2000        601595      96.8717      -0.312705        161.583  6.03598e+07           2000                           20                      50
         2000        602612      96.8663      -0.317025        161.77   6.04615e+07           2000                           20                       2
         2000        602899      95.7992      -0.313836        161.813  6.04902e+07           2000                           20                      20
         2000        602952      97.8828      -0.315776        161.834  6.04955e+07           2000                           20                      10
         2000        602830      97.4947      -0.316999        161.605  6.04833e+07           2000                           10                      50
         2000        603219      96.9569      -0.314543        161.709  6.05222e+07           2000                           10                       2
         2000        602854      96.4662      -0.319617        161.829  6.04857e+07           2000                           10                      20
         2000        602596      96.7235      -0.319015        161.754  6.04599e+07           2000                           10                      10
         2000        602012      95.7679      -0.318167        161.601  6.04015e+07           2000                           50                      50
         2000        602699      96.9069      -0.312983        161.738  6.04702e+07           2000                          100                      10
         4000        595072      93.358       -0.313911        161.269  5.99075e+07           4000                           20                      10
         4000        595289      94.4277      -0.314085        161.43   5.99292e+07           4000                           50                       2
         4000        594754      93.2736      -0.311776        161.106  5.98757e+07           4000                           50                      20
         4000        595217      94.788       -0.307028        161.244  5.9922e+07            4000                           50                      10
         4000        594054      93.599       -0.313708        161.099  5.98057e+07           4000                           20                      50
         4000        595065      94.5719      -0.314789        161.189  5.99068e+07           4000                           20                       2
         4000        595459      94.713       -0.311372        161.352  5.99462e+07           4000                           20                      20
         4000        594927      95.3365      -0.31333         161.125  5.9893e+07            4000                           10                      50
         4000        594791      94.996       -0.311463        161.275  5.98794e+07           4000                           10                       2
         4000        595218      93.6316      -0.310521        161.251  5.99221e+07           4000                           10                      20
         4000        595606      93.7462      -0.31243         161.32   5.99609e+07           4000                           10                      10
         4000        594940      94.6827      -0.311687        161.472  5.98943e+07           4000                          100                      50
         4000        595097      94.5968      -0.309837        161.274  5.991e+07             4000                          100                       2
         4000        594504      94.6851      -0.313762        160.992  5.98507e+07           4000                          100                      20
         4000        595488      93.7181      -0.309207        161.437  5.99491e+07           4000                           50                      50
         4000        594953      93.5873      -0.310711        161.387  5.98956e+07           4000                          100                      10
