Station_ID Latitude Longitude Closer_Vertex_ID Further_Vertex_ID Segment_ID NumTotalSegments Capacity
1 49.7174 14.6807 3632 407 6 8 4
3 50.0545 14.2762 5921 5920 0 1 4
4 49.6425 15.7034 7073 3185 0 1 4
-1 49.313 17.4089 5157 5027 0 1 4
7 49.6513 18.2213 4792 3939 0 1 4
-1 50.2394 12.8898 4903 2223 0 1 4
9 50.5221 13.7438 889 888 0 1 4
10 50.3113 14.3168 7334 5632 0 1 4
-1 48.7984 16.6405 239 6987 0 2 4
12 50.6881 13.7597 885 1207 2 8 4
13 49.0557 13.7881 6388 2251 0 1 4
14 48.9139 17.4238 5428 3670 11 15 4
15 49.5564 17.7158 4736 857 0 1 4
17 50.6207 15.5967 2087 2086 0 1 4
18 50.1537 13.9778 3230 3229 0 1 4
19 50.4163 16.169 4242 2990 0 1 4
-1 49.0821 17.3336 2649 2647 0 1 4
-1 49.5272 15.3496 4574 4072 0 1 4
22 50.3479 14.4915 6348 6347 0 1 4
23 50.8702 14.5086 2209 1829 167 187 4
24 50.5262 13.5702 5820 2773 0 1 4
-1 50.0525 12.983 1094 1093 0 1 4
26 50.1467 12.6412 6296 5055 0 1 4
27 49.5026 16.335 2503 2502 0 1 4
-1 50.9905 15.0013 4226 6166 6 34 4
29 49.2261 14.7284 6284 5565 0 1 4
-1 49.6538 14.4266 5387 5386 0 1 4
31 49.5348 17.6012 2907 999 0 1 4
-1 49.7871 13.7221 2555 2553 0 1 4
33 49.348 13.4366 7203 7200 0 1 4
34 49.7276 18.0136 4813 3903 0 1 4
35 50.4879 13.4533 1577 1575 0 1 4
-1 50.1377 14.8387 6680 1695 0 1 4
-1 50.4369 14.8948 6592 6590 0 1 4
-1 51.0432 14.5087 6508 2209 0 1 4
40 50.4324 14.924 7229 7228 0 1 4
41 49.1899 16.4462 3624 647 0 1 4
42 50.0354 15.168 5431 4207 0 1 4
43 50.106 14.0692 5017 2413 0 1 4
44 49.2861 16.5635 1040 843 0 1 4
-1 50.1203 15.2834 5727 5726 0 1 4
46 50.5898 13.6049 2075 2074 0 1 4
47 49.7252 12.889 1046 1045 0 1 4
48 48.9486 16.7354 2908 1987 0 1 4
-1 50.349 13.7701 3175 3167 0 1 4
-1 49.2637 13.145 1980 7074 19 41 4
51 50.2317 12.8638 1888 532 0 1 4
