  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numStations    greedyMaxIterations    greedyNumThrowAway
-------------  ------------  -----------  -------------  -------------  -----------  -------------  ---------------------  --------------------
          284        678159      97.5931      -0.34311         183.818  6.78446e+07            300                     20                     2
          285        687528      96.0662      -0.351105        182.125  6.87816e+07            300                     20                     5
          289        682356     102.382       -0.343387        187.832  6.82648e+07            300                     20                     1
          495        645667      99.3914      -0.343948        173.39   6.46165e+07            500                     20                     5
          498        646647     101.464       -0.345418        172.327  6.47148e+07            500                     20                     2
          499        646182      99.9349      -0.343345        171.284  6.46684e+07            500                     20                     1
         1000        572395     100.262       -0.350204        167.541  5.73398e+07           1000                     20                     1
         1000        571645     100.307       -0.34541         167.463  5.72648e+07           1000                     20                     2
         1000        572448     101.767       -0.345707        167.494  5.73451e+07           1000                     20                     5
         2000        517458      98.3134      -0.343659        165.868  5.19461e+07           2000                     20                     1
         2000        516668      98.4958      -0.345641        165.844  5.18671e+07           2000                     20                     2
         2000        517101      99.6048      -0.344369        165.73   5.19104e+07           2000                     20                     5
         4000        516282      99.1647      -0.341303        165.443  5.20285e+07           4000                     20                     1
         4000        515705      98.7203      -0.341222        165.609  5.19708e+07           4000                     20                     2
         4000        515166      99.3053      -0.341018        165.359  5.19169e+07           4000                     20                     5
