  numStat    runDownBat    travDur    battDiff    waitTime    numFinish    numNotFinish    numUsedStat    notFinis    bestLoss    numStations    kMeansNumIterationsOneRun    kMeansNumGenerations
---------  ------------  ---------  ----------  ----------  -----------  --------------  -------------  ----------  ----------  -------------  ---------------------------  ----------------------
      100          4066    99.9143   -0.497433    39.6314         87944            2045             82        6111      416639            100                           50                       4
      100          4047   100.071    -0.497408     1.38378        87474            1891             96        5938      414701            100                           20                       4
      100          4032   100.154    -0.497434     1.34597        87778            1936             99        5968      413201            100                           20                       2
      100          4044   100.177    -0.49746      1.34475        88500            1905             97        5949      414401            100                           10                       8
      100          4077   100.016    -0.49745      1.30409        87735            1903             99        5980      417701            100                           10                       4
      100          4113   100.06     -0.497411     1.37226        88326            1864             99        5977      421301            100                           10                       2
      100          4085    99.8939   -0.497495    42.841          87978            1968             82        6053      418542            100                          100                       8
      100          4096   100.014    -0.497489     1.38225        87825            1946             99        6042      419601            100                          100                       4
      100          4105   100.037    -0.497443     1.36672        88466            1972             99        6077      420501            100                          100                       2
      100          4015   100.104    -0.497429    40.283          87709            2009             82        6024      411540            100                           20                       8
      100          4048   100.162    -0.497433     1.30829        87788            2015             98        6063      414801            100                           50                       8
      100          4039   100.1      -0.497448     1.37025        88037            2031             99        6070      413901            100                           50                       2
      300          3717   100.752    -0.497431     3.60753        88591            2015            260        5732      401703            300                           20                       8
      300          3710   100.844    -0.497419     3.65425        88829            1981            260        5691      401003            300                          100                       2
      300          3654   100.976    -0.497457     3.60941        89424            2059            256        5713      395403            300                          100                       4
      300          3688   100.822    -0.497461     3.55439        88775            2045            257        5733      398803            300                          100                       8
      300          3713   100.918    -0.497446     3.58643        88709            1967            261        5680      401303            300                           10                       2
      300          3631   100.851    -0.497399     3.62546        87988            2060            264        5691      393103            300                           10                       4
      300          3624   101.064    -0.497425     3.63952        89215            2075            258        5699      392403            300                           50                       4
      300          3656   100.925    -0.497449     3.53798        88773            1995            258        5651      395603            300                           20                       2
      300          3662   100.879    -0.497448     3.56158        88708            2054            258        5716      396203            300                           20                       4
      300          3641   100.917    -0.497387     3.55708        87958            1991            260        5632      394103            300                           50                       8
      300          3740   100.773    -0.497445     3.59142        87968            2064            260        5804      404003            300                           10                       8
      300          3660   100.927    -0.497409     3.54242        89551            2053            262        5713      396003            300                           50                       2
      500          3525   101.275    -0.497444     3.65033        89084            2041            400        5566      402503            500                           50                       8
      500          3423   101.446    -0.497439     3.73438        89277            2015            403        5438      392303            500                          100                       4
      500          3357   101.469    -0.497442     3.70526        88620            2058            406        5415      385703            500                          100                       8
      500          3361   101.481    -0.497424     3.69636        89177            2077            403        5438      386103            500                           10                       2
      500          3423   101.324    -0.497438     3.66761        88732            2098            398        5521      392303            500                           10                       4
      500          3462   101.363    -0.497442     3.71987        88873            2048            391        5510      396203            500                          100                       2
      500          3434   101.425    -0.497469     3.67835        89877            2088            404        5522      393403            500                           20                       2
      500          3401   101.395    -0.497419     3.71918        88498            2057            407        5458      390103            500                           20                       4
      500          3381   101.41     -0.497455     3.71745        88391            2041            399        5422      388103            500                           20                       8
      500          3387   101.47     -0.497417     3.70014        89110            2026            399        5413      388703            500                           50                       2
      500          3354   101.466    -0.497459     3.68823        88795            2059            396        5413      385403            500                           50                       4
      500          3406   101.387    -0.49744      3.70541        88912            2127            395        5533      390603            500                           10                       8
      700          3224   101.775    -0.497387     4.35161        89222            2082            503        5306      392404            700                          100                       4
      700          3171   101.846    -0.49742      4.33561        88979            2022            505        5193      387104            700                          100                       8
      700          3223   101.793    -0.497442     4.33018        89318            2121            494        5344      392304            700                           10                       2
      700          3201   101.822    -0.497418     4.4829         88817            2138            512        5339      390104            700                           10                       4
      700          3281   101.705    -0.497438     4.4377         89579            2098            511        5379      398104            700                           10                       8
      700          3135   101.931    -0.497452     4.44475        89336            2158            508        5293      383504            700                           20                       2
      700          3231   101.738    -0.497389     4.41606        89455            2186            515        5417      393104            700                           20                       4
      700          3224   101.772    -0.497439     4.43963        89387            2111            509        5335      392404            700                           20                       8
      700          3171   101.89     -0.497432     4.45384        89594            2065            515        5236      387104            700                           50                       2
      700          3243   101.731    -0.497468     4.45391        90064            2095            515        5338      394304            700                          100                       2
      700          3222   101.789    -0.49743      4.38285        89343            2166            506        5388      392204            700                           50                       8
      700          3224   101.805    -0.497424     4.46481        89832            2095            510        5319      392404            700                           50                       4
     1000          2832   102.344    -0.497435     9.44445        89532            2294            650        5126      383209           1000                           50                       8
     1000          2905   102.23     -0.497468     9.42707        90328            2321            659        5226      390509           1000                           50                       4
     1000          2847   102.298    -0.497436     9.60449        89729            2382            641        5229      384709           1000                           50                       2
     1000          2795   102.387    -0.497399     9.6101         89807            2315            624        5110      379509           1000                           20                       4
     1000          2854   102.318    -0.497391     9.38799        89907            2259            660        5113      385409           1000                           20                       2
     1000          2792   102.323    -0.49743      9.5361         88919            2321            646        5113      379209           1000                          100                       2
     1000          2830   102.254    -0.497401     9.42633        89649            2316            636        5146      383009           1000                           10                       4
     1000          2828   102.306    -0.497396     9.45385        89765            2298            653        5126      382809           1000                           10                       2
     1000          2820   102.335    -0.497404     9.38194        89418            2276            647        5096      382009           1000                          100                       8
     1000          2817   102.257    -0.497429     9.55537        89648            2381            639        5198      381709           1000                          100                       4
     1000          2810   102.425    -0.497427     9.48644        90040            2353            634        5163      381009           1000                           10                       8
     1000          2873   102.235    -0.497418     9.52197        89704            2357            645        5230      387309           1000                           20                       8
     2000          2010   103.743    -0.497427     7.16024        90630            2481            988        4491      401007           2000                           10                       4
     2000          2114   103.521    -0.497446     7.11684        91495            2443           1024        4557      411407           2000                          100                       2
     2000          2080   103.506    -0.497468     7.0893         91098            2457            994        4537      408007           2000                          100                       4
     2000          2077   103.581    -0.497417     7.03101        90959            2416            984        4493      407707           2000                          100                       8
