  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numClosestStations    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance
-------------  ------------  -----------  -------------  -------------  -----------  --------------------  -------------------------  --------------  ------------------  ------------------
          300        619119     115.981       -0.343711        191.448  6.19422e+07                     5                      0.01             1                    0.5                0.05
          300        619121      81.5202      -0.343131        196.741  6.19424e+07                     1                      0.1              1                    0.7                0.1
          300        620116      82.6783      -0.34399         201.119  6.20419e+07                     1                      0.1              1                    0.5                0.05
          300        620435     113.933       -0.342258        197.718  6.20738e+07                     1                      0.01           100                    0.7                0.05
          300        621104      83.5466      -0.344276        178.562  6.21407e+07                     5                      0.1              0.01                 0.5                0.05
          300        621297      81.5397      -0.343235        176.348  6.216e+07                       5                      0.1              0.01                 0.5                0.1
          300        621313      82.9436      -0.34477         180.688  6.21616e+07                     5                      0.1              0.01                 0.5                0
          300        621679      81.5181      -0.34452         177.603  6.21982e+07                     5                      0.1              1                    0.3                0.1
          300        621803      81.9427      -0.343878        203.841  6.22106e+07                     1                      0.1              0.01                 0.5                0.05
          300        622113      82.9964      -0.343541        195.739  6.22416e+07                     1                      0.1            100                    0.3                0.05
          300        622121     113.187       -0.345334        188.441  6.22424e+07                     5                      0.01             0.01                 0.7                0.1
          300        623176      82.3257      -0.34308         199.793  6.23479e+07                     1                      0.1              0.01                 0.7                0.05
          300        623634      82.6075      -0.343038        180.731  6.23937e+07                     5                      0.1            100                    0.5                0.05
          300        624184      84.0089      -0.342672        197.214  6.24487e+07                     1                      0.1              0.01                 0.5                0
          300        624209     115.877       -0.345927        181.275  6.24512e+07                     5                      0.01           100                    0.5                0.05
          300        624376     114.947       -0.344977        201.66   6.24679e+07                     1                      0.01             1                    0.5                0.05
          300        624722      82.6608      -0.342888        185.016  6.25025e+07                     5                      0.1              0.01                 0.3                0.05
          300        624737      82.4936      -0.342788        180.107  6.2504e+07                      5                      0.1              0.01                 0.7                0
          300        624759      83.3667      -0.342571        198.266  6.25062e+07                     1                      0.1              1                    0.3                0
          300        625189      83.5096      -0.342869        197.132  6.25492e+07                     1                      0.1            100                    0.3                0
          300        625652      81.4015      -0.343479        197.452  6.25955e+07                     1                      0.1              0.01                 0.7                0.1
          300        625757      81.6019      -0.343771        184.321  6.2606e+07                      5                      0.1            100                    0.3                0.1
          300        625947      81.9897      -0.343394        180.602  6.2625e+07                      5                      0.1              0.01                 0.7                0.1
          300        626026      82.0967      -0.342877        195.649  6.26329e+07                     1                      0.1              1                    0.5                0
          300        626296     116.637       -0.347067        206.191  6.26599e+07                     1                      0.01             1                    0.3                0.05
          300        626321      82.1235      -0.344351        180.138  6.26624e+07                     5                      0.1              1                    0.3                0.05
          300        626592     114.069       -0.344302        201.607  6.26895e+07                     1                      0.01             1                    0.7                0.1
          300        626608      83.5352      -0.344125        201.817  6.26911e+07                     1                      0.1            100                    0.7                0
          300        626651      82.151       -0.344313        201.275  6.26954e+07                     1                      0.1              1                    0.3                0.05
          300        626699     114.252       -0.348042        203.667  6.27002e+07                     1                      0.01             0.01                 0.3                0.05
          300        626910      83.7249      -0.343287        178.468  6.27213e+07                     5                      0.1              0.01                 0.3                0
          300        627238      82.2845      -0.343239        199.293  6.27541e+07                     1                      0.1            100                    0.7                0.05
