  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    exponentialLambdaDepartures    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
-------------  ------------  -----------  -------------  -------------  -----------  ----------------  --------------------  ----------------  -------------------------  -----------------------------  --------------  ------------------  ------------------  -------------
          251         23764      46.3922      -0.387537        91.6848  2.40164e+06               500                     5            0.0001                      0.1                             1000          100                    0.3                0.1               5
          251         25525      46.4366      -0.387624        91.7608  2.57774e+06               500                     5            0.0001                      0.1                             1000          100                    0.5                0.05              5
          251         25596      58.0327      -0.393678       100.624   2.58486e+06               500                     1            0.0001                      0.001                           1000          100                    0.3                0.1               5
          251         25859      58.3354      -0.395667       100.658   2.61116e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0                 5
          251         26068      58.6823      -0.392998       100.543   2.63206e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.5                0.1               5
          251         26335      58.1918      -0.397921       100.648   2.65876e+06               500                     1            0.0001                      0.001                           1000          100                    0.7                0                 5
          251         26572      58.2961      -0.401748       100.537   2.68246e+06               500                     1            0.0001                      0.001                           1000            0.01                 0.7                0.1               5
          251         26604      58.086       -0.395344       100.606   2.68566e+06               500                     1            0.0001                      0.001                           1000            0.01                 0.5                0                 5
          251         26805      46.3773      -0.388228        92.1468  2.70574e+06               500                     5            0.0001                      0.1                             1000          100                    0.3                0                 5
          251         26880      58.4835      -0.399466       100.943   2.71326e+06               500                     1            0.0001                      0.001                           1000           10                    0.3                0                 5
          251         27061      58.6072      -0.394722       100.87    2.73136e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.3                0.1               5
          251         27167      58.6123      -0.395418       100.573   2.74196e+06               500                     1            0.0001                      0.001                           1000           10                    0.5                0                 5
          251         27486      58.263       -0.395902       100.359   2.77386e+06               500                     1            0.0001                      0.001                           1000            0.01                 0.7                0                 5
          251         27685      58.1546      -0.392075       100.589   2.79376e+06               500                     1            0.0001                      0.001                           1000          100                    0.7                0.05              5
          251         27865      57.8286      -0.396404       100.544   2.81176e+06               500                     1            0.0001                      0.001                           1000           10                    0.5                0.1               5
          251         28065      57.9968      -0.396102       100.36    2.83176e+06               500                     1            0.0001                      0.001                           1000           10                    0.3                0.05              5
          251         28067      58.1842      -0.397229       100.585   2.83196e+06               500                     1            0.0001                      0.001                           1000          100                    0.5                0                 5
          251         28080      58.6613      -0.393699       101.04    2.83326e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.5                0                 5
          251         28107      59.6216      -0.399947       100.805   2.83596e+06               500                     1            0.0001                      0.01                            1000           10                    0.5                0                 5
          251         28129      58.0892      -0.393546       100.515   2.83816e+06               500                     1            0.0001                      0.001                           1000          100                    0.7                0.1               5
          251         28298      58.5553      -0.397237       100.528   2.85506e+06               500                     1            0.0001                      0.001                           1000          100                    0.3                0                 5
          251         28320      58.3368      -0.393777       100.712   2.85726e+06               500                     1            0.0001                      0.001                           1000          100                    0.3                0.05              5
          251         28382      58.6909      -0.398657       100.719   2.86346e+06               500                     1            0.0001                      0.001                           1000           10                    0.3                0.1               5
          251         28835      58.0016      -0.398529       100.444   2.90876e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0.05              5
          251         28915      58.0343      -0.395119       100.569   2.91676e+06               500                     1            0.0001                      0.001                           1000           10                    0.7                0.05              5
          251         28937      58.4112      -0.393462       100.442   2.91896e+06               500                     1            0.0001                      0.001                           1000          100                    0.5                0.1               5
          251         29173      57.8366      -0.394837       100.479   2.94256e+06               500                     1            0.0001                      0.001                           1000            0.01                 0.7                0.05              5
          251         29217      58.367       -0.395377       100.881   2.94696e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0.1               5
          251         29338      58.234       -0.400843       100.646   2.95906e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.5                0.05              5
          251         30073      58.298       -0.397408       100.788   3.03256e+06               500                     1            0.0001                      0.001                           1000          100                    0.5                0.05              5
          251         30100      58.0038      -0.40519        100.614   3.03526e+06               500                     1            0.0001                      0.001                           1000           10                    0.5                0.05              5
          251         30145      58.7526      -0.396296       100.83    3.03976e+06               500                     1            0.0001                      0.001                           1000            0.1                  0.3                0                 5
