  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
-------------  ------------  -----------  -------------  -------------  -----------  ----------------  --------------------  ----------------  -------------------------  --------------  ------------------  ------------------  -------------
          300         51398      69.7719      -0.386674        95.3644  5.16996e+06               500                     3            0.0001                      0.01             1                    0.7                0.1               2
          300        103475     121.679       -0.397881       208.636   1.03778e+07              1000                     1            0.0001                      0.001          100                    0.5                0.1               2
          300        104095     119.532       -0.399122       205.071   1.04398e+07              1000                     1            0.0001                      0.001            1                    0.7                0                 2
          300        104736     118.752       -0.398463       209.128   1.05039e+07              1000                     1            0.0001                      0.001          100                    0.5                0                 2
          300        105731     117.18        -0.396698       205.294   1.06034e+07              1000                     1            0.0001                      0.001            1                    0.7                0.05              2
          300        105735     113.925       -0.395547       201.882   1.06038e+07              1000                     1            0.0001                      0.01           100                    0.5                0                 2
          300        106786     120.58        -0.392087       210.797   1.07089e+07              1000                     1            0.0001                      0.001          100                    0.3                0.1               2
          300        106831     120.747       -0.395094       204.169   1.07134e+07              1000                     1            0.0001                      0.001            0.1                  0.7                0                 2
          300        106842     120.381       -0.395904       206.691   1.07145e+07              1000                     1            0.0001                      0.001            0.1                  0.5                0.05              2
          300        106869     121.028       -0.395225       199.138   1.07172e+07              1000                     3            0.0001                      0.001            0.1                  0.5                0.05              2
          300        106956     117.074       -0.398667       197.671   1.07259e+07              1000                     1            0.0001                      0.001          100                    0.5                0.05              2
          300        107202     122.011       -0.394852       205.374   1.07505e+07              1000                     1            0.0001                      0.001          100                    0.7                0.1               2
          300        107512      91.4245      -0.383249       193.282   1.07815e+07              1000                     3            0.0001                      0.1              0.01                 0.5                0.05              2
          300        107565     120.405       -0.396159       206.948   1.07868e+07              1000                     1            0.0001                      0.01             0.01                 0.3                0.1               2
          300        107651     115.332       -0.392702       209.384   1.07954e+07              1000                     1            0.0001                      0.01           100                    0.7                0                 2
          300        107825     118.197       -0.39822        206.352   1.08128e+07              1000                     1            0.0001                      0.01             0.1                  0.3                0.1               2
          300        107867     127.146       -0.400081       210.15    1.0817e+07               1000                     1            0.0001                      0.001           10                    0.3                0.05              2
