Station_ID Latitude Longitude Closer_Vertex_ID Further_Vertex_ID Segment_ID NumTotalSegments Capacity
0 50.1772 13.8151 7265 7262 0 1 4
1 50.0689 15.9751 6916 2936 0 1 4
2 49.097 16.6009 4119 3676 0 1 4
3 49.3669 14.7205 6278 5328 0 1 4
4 49.2554 16.9706 3034 1755 0 1 4
5 49.0087 14.7633 6596 5303 0 1 4
6 49.6026 13.8773 2576 2575 0 1 4
7 49.6425 15.7031 3186 3185 0 1 4
8 48.9953 16.5497 1605 1604 0 1 4
9 49.962 14.5209 5343 5342 0 1 4
10 49.2053 17.5717 2826 2825 0 1 4
11 48.7996 16.6327 1764 238 0 1 4
12 49.6775 12.6001 6152 6126 0 1 4
13 50.2782 14.8279 1493 1492 0 1 4
14 49.7538 16.4753 3163 3160 0 1 4
15 49.8678 13.8958 6479 1847 0 1 4
16 50.1182 14.9414 7025 7024 0 1 4
17 49.995 17.4736 1000 994 0 1 4
18 49.9108 14.7095 1292 413 0 1 4
19 48.9525 17.3804 7704 7702 0 1 4
20 49.2053 17.5717 2826 2825 0 1 4
21 50.0702 14.3336 79 78 0 1 4
22 49.8538 18.5327 4566 3431 0 1 4
23 50.4105 14.9758 6678 6191 0 1 4
24 50.603 15.1519 452 451 0 1 4
25 50.1004 15.8828 7426 7425 0 1 4
26 50.5112 13.4744 1566 1565 0 1 4
27 49.3209 17.3154 2609 2608 0 1 4
28 50.5461 15.0424 5949 5948 0 1 4
29 49.2077 14.2149 7250 2103 0 1 4
30 49.6996 14.6743 3632 407 4 8 4
31 49.5077 16.5189 3549 3548 0 1 4
32 49.3865 14.6921 372 52 0 1 4
33 50.1477 15.4941 2767 2766 0 1 4
34 49.8562 18.5391 5107 4009 0 1 4
35 50.1629 13.8978 4531 4530 0 1 4
36 50.4313 15.3878 6686 3750 0 1 4
37 48.8318 16.8668 2309 2308 0 1 4
38 50.875 14.584 6063 4268 0 1 4
39 49.5353 15.3337 7738 4067 0 1 4
40 50.6208 15.5971 4863 2087 0 1 4
41 50.9428 14.5785 2779 1931 0 1 4
42 49.6724 18.3293 2594 2063 0 1 4
43 49.3205 17.3165 2607 2606 0 1 4
44 49.4765 14.6645 4891 6274 0 6 4
45 50.7576 15.0527 4157 1947 0 1 4
46 50.5101 14.7841 6898 6897 0 1 4
47 50.3853 14.9012 5960 3260 0 1 4
48 49.5622 17.3093 7748 3085 0 1 4
49 48.9394 17.1857 5428 2066 27 29 4
50 48.8762 17.243 6000 4001 0 1 4
51 49.0555 14.5897 4687 4521 15 22 4
52 50.1764 14.4548 392 391 0 1 4
53 49.0645 14.5286 7677 7396 0 1 4
54 49.4063 15.5699 2477 1221 0 1 4
55 50.1285 13.2103 7699 575 9 11 4
56 49.5029 16.3358 3547 2503 0 1 4
57 50.0571 14.2766 5920 680 0 1 4
58 50.6172 13.969 4937 2682 0 1 4
59 49.182 15.6339 6714 6143 0 1 4
60 50.1354 13.353 6999 6157 2 5 4
61 50.41 14.936 2342 2255 0 1 4
62 49.0823 16.5266 3676 4593 2 6 4
63 49.5654 15.9548 586 289 0 1 4
64 49.7322 18.2819 3070 3069 0 1 4
65 48.8691 17.1165 2642 2640 0 1 4
66 50.2396 12.8878 1914 1913 0 1 4
67 49.175 16.8259 234 233 0 1 4
68 50.891 14.983 6166 4226 20 34 4
69 50.2477 14.3733 1389 1185 0 1 4
70 50.2411 17.7219 3866 7758 6 27 4
71 48.9737 17.8078 7584 4647 0 1 4
72 50.1544 16.2798 6994 3286 0 1 4
73 49.686 14.1201 3298 2576 13 14 4
74 50.1941 12.2157 3144 571 0 1 4
75 49.1899 16.4449 7810 647 0 1 4
76 50.1228 16.2147 5619 3252 0 1 4
77 49.6864 15.5335 5208 5206 0 1 4
78 50.2018 15.7738 4454 4453 0 1 4
79 49.5344 14.6646 6668 5589 0 1 4
80 49.655 17.833 5231 5228 0 1 4
81 50.9105 14.5669 7249 5006 0 1 4
82 49.5193 14.0726 5379 4734 0 1 4
83 48.8628 17.4214 2066 5428 4 29 4
84 50.049 15.7433 2170 2168 0 1 4
85 49.9897 16.7906 5731 1861 0 1 4
86 50.1211 16.2744 4338 3288 0 1 4
87 50.1366 13.2274 6727 6805 1 5 4
88 49.0185 16.7533 1235 1989 5 13 4
89 50.1374 14.4945 4822 4821 0 1 4
90 49.3262 18.0016 2095 2093 0 1 4
91 49.4412 15.2054 7832 7831 0 1 4
92 50.2812 15.8884 7570 7309 5 8 4
93 48.7822 16.9221 4053 2147 0 1 4
94 49.5331 17.1764 7612 7611 0 1 4
95 50.3748 15.9135 7093 7092 0 1 4
96 50.8477 14.8999 5764 5457 0 1 4
97 50.4336 16.2025 5937 3644 0 1 4
98 50.0458 15.0302 4700 4699 0 1 4
99 49.803 13.3894 5004 5003 0 1 4
100 49.3872 14.6918 4708 373 0 1 4
101 50.7228 15.1766 3203 3202 0 1 4
