Station_ID Latitude Longitude Closer_Vertex_ID Further_Vertex_ID Segment_ID NumTotalSegments Capacity
0 49.6577 15.1214 1728 1727 0 1 4
1 49.9524 16.9582 1539 1538 0 1 4
2 49.3321 15.9792 1829 5032 16 98 4
3 49.9185 16.2145 966 4451 9 37 4
4 49.8604 18.0858 4114 3975 1 3 4
5 50.603 15.1531 4218 453 0 1 4
6 49.8066 18.3267 5556 3715 0 1 4
7 50.7287 15.6442 449 4864 7 29 4
8 50.1603 13.8972 4537 4536 0 1 4
9 49.3228 14.7189 7357 4156 0 1 4
10 50.087 12.2241 7316 7315 0 1 4
11 50.1955 16.2472 7061 4983 0 1 4
12 49.0823 18.1052 6389 4941 14 25 4
13 49.0405 17.5224 3484 1009 7 8 4
14 50.1197 14.9448 7016 1639 0 1 4
15 49.9436 16.1649 6185 6184 0 1 4
16 49.2153 17.6237 4178 4177 0 1 4
17 49.56 17.3205 6321 5570 0 1 4
18 50.2492 14.375 2545 1389 0 1 4
19 49.6873 15.5312 5212 5210 0 1 4
20 50.6199 14.8939 7514 916 30 33 4
21 50.6532 13.8693 5299 4753 0 1 4
22 50.1003 12.5391 4799 4503 0 1 4
23 49.9716 16.0169 7652 5272 0 1 4
24 49.6553 18.2489 6365 6364 0 1 4
25 49.5336 17.1726 750 749 0 1 4
26 48.5463 14.3166 2514 6633 0 2 4
27 50.5904 13.6046 2074 2073 0 1 4
28 50.3406 14.4911 3002 444 0 1 4
29 49.7979 18.2316 4447 3099 0 1 4
30 49.6918 17.9568 3893 3393 0 1 4
31 50.1327 15.0986 6440 5241 0 1 4
32 50.1757 13.7666 6947 6937 0 1 4
33 50.4163 16.169 5082 4242 0 1 4
34 49.0138 14.4375 3843 2205 0 1 4
35 49.9736 14.6144 5486 4248 0 1 4
36 49.163 16.7937 234 208 3 5 4
37 49.8337 18.4742 975 974 0 1 4
38 50.1378 14.8436 6681 1694 0 1 4
39 50.0321 15.776 2769 2488 19 21 4
40 49.2671 14.7348 5569 4367 0 1 4
41 50.0678 14.3351 3222 855 0 1 4
42 49.5193 14.0726 5379 4734 0 1 4
43 50.5983 15.1168 4836 1800 0 1 4
44 50.2137 17.2015 4520 4519 0 1 4
45 48.6903 17.1532 5954 5955 1 16 4
46 49.0492 17.4674 3483 1015 0 1 4
47 50.2192 17.3607 4519 5650 1 18 4
48 50.0699 16.6742 2395 5598 4 11 4
49 50.5256 15.2434 7656 7078 0 1 4
50 49.7761 17.3912 7154 5447 0 1 4
51 49.6848 13.374 6257 6255 0 1 4
52 49.9684 15.312 3187 2490 0 1 4
53 49.1603 14.1908 940 939 0 1 4
54 49.1992 17.5379 4183 2931 0 1 4
55 49.893 14.7133 4292 1812 0 1 4
56 50.7134 13.9704 3850 3849 0 1 4
57 50.1341 13.2356 6155 6153 0 1 4
58 50.6038 16.0123 1898 5995 5 17 4
59 50.4245 16.1911 5373 5372 0 1 4
60 49.9019 13.9583 1840 1839 0 1 4
61 49.7262 18.0136 4813 3902 0 1 4
62 49.0422 15.7989 5189 5187 0 1 4
63 49.8495 18.1385 3972 3971 0 1 4
64 49.6855 13.3657 5809 2540 0 1 4
65 49.65 18.129 3938 6238 0 6 4
66 50.1757 13.8065 6937 7264 0 2 4
67 49.1498 17.0827 5989 5988 0 1 4
68 50.3031 15.8483 7572 7570 0 1 4
69 50.2384 12.886 4904 4899 0 1 4
70 49.1848 14.8969 293 953 14 47 4
71 49.6434 15.7026 7072 3186 0 1 4
72 50.6724 14.5339 4925 1930 1 2 4
73 49.875 18.0968 4113 4112 0 1 4
74 49.2774 15.3213 1829 5824 16 46 4
75 50.1953 16.2474 7063 7062 0 1 4
76 50.6207 15.5967 2087 2086 0 1 4
77 48.7624 14.4558 7727 4214 15 24 4
78 50.2714 14.238 5645 2400 0 1 4
79 50.147 14.157 7113 5544 0 1 4
80 49.9756 14.1043 6451 4825 0 1 4
81 50.2643 12.925 2894 2890 0 1 4
82 48.799 16.6322 238 237 0 1 4
83 50.1492 15.7352 4599 3844 0 1 4
84 49.4194 13.2858 2994 4129 1 8 4
85 49.3831 15.1837 4431 3394 0 1 4
86 49.7882 13.7199 2551 2549 0 1 4
87 50.3657 13.7151 6820 3801 2 3 4
88 49.1469 17.0948 208 7795 1 16 4
89 49.947 15.6852 7187 964 0 1 4
90 50.7711 14.2019 6735 6664 0 1 4
91 50.6615 14.0455 5365 3303 0 1 4
92 49.6502 18.2215 3939 3861 0 1 4
93 49.4512 15.6108 28 27 0 1 4
94 49.7479 12.7783 5451 3340 0 1 4
95 49.7535 13.5762 4354 517 0 1 4
96 50.1384 12.6051 4512 4510 0 1 4
97 49.2676 13.9154 7419 6732 0 1 4
98 50.4887 13.4496 4923 1580 0 1 4
99 49.7352 14.6595 7157 3632 0 1 4
100 49.5929 18.0139 6862 988 0 1 4
101 49.752 14.9742 7383 1250 0 1 4
102 50.6488 16.0359 5995 1898 11 17 4
103 49.3865 14.6918 4707 52 0 1 4
