node_id latitude longitude city_id distance_km
0 50.0719 14.2867 416 2.2772
1 50.0171 14.3383 32 6.81865
2 50.0595 14.4064 513 3.28572
3 50.0347 14.4074 513 5.95297
4 50.0353 14.4076 513 5.87807
5 50.0378 14.408 513 5.60924
6 50.0358 14.4078 513 5.82828
7 50.0321 14.4089 513 6.22396
8 50.0321 14.4102 513 6.20252
9 50.1141 14.4455 513 3.42693
10 49.1897 16.4435 477 4.11979
11 49.1894 16.4436 477 4.12173
12 49.1678 16.5431 470 5.65849
13 49.1738 16.5642 470 3.99354
14 49.1741 16.5621 470 4.10923
15 50.0527 14.305 416 4.60825
16 50.0521 14.3077 416 4.7973
17 50.0484 14.2731 411 3.4021
18 50.0515 14.2922 416 4.11262
19 50.0574 14.2769 416 2.98211
20 50.0919 14.296 416 2.90775
21 50.0723 14.3974 513 2.39965
22 50.0935 14.298 416 3.11453
23 50.1007 14.3948 513 2.39432
24 50.1002 14.3951 513 2.33952
25 49.3729 17.0983 302 11.0767
26 49.5622 17.2212 299 4.14628
27 49.4512 15.6111 0 6.30831
28 49.4514 15.6108 0 6.33069
29 49.4238 15.6872 87 7.4289
30 49.4233 15.6847 0 7.47079
31 49.22 16.6096 470 3.08974
32 50.0361 14.3894 513 6.15242
33 49.397 15.8841 80 10.3575
34 49.396 15.8849 80 10.2576
35 50.0445 14.4084 513 4.8699
36 50.0426 14.4069 513 5.09398
37 50.0734 14.5414 513 8.71361
38 50.1242 14.5112 513 7.60617
39 50.0772 14.4292 513 1.27941
40 50.0771 14.4304 513 1.32573
41 49.639 14.0506 420 6.3866
42 49.7469 12.7787 358 3.95455
43 49.746 13.3856 3 0.60852
44 49.746 13.3858 3 0.630066
45 49.2051 16.1558 113 0.297712
46 49.4054 14.72 286 3.39471
47 50.1044 14.4822 513 4.74158
48 48.8867 14.4397 250 6.62059
49 48.8871 14.4393 250 6.67397
50 48.9685 14.465 239 0.969867
51 49.2128 16.5891 470 2.79717
52 49.2153 16.5872 470 3.10595
53 49.3865 14.6921 286 0.559451
54 49.3855 14.6923 286 0.566703
55 48.9911 14.4573 239 2.19777
56 49.8374 14.2439 413 3.45008
57 49.839 14.2457 413 3.23415
58 50.0988 14.5984 405 9.82291
59 48.9909 14.4575 239 2.17578
60 48.9921 14.4578 239 2.27543
61 50.1049 14.0764 373 4.53391
62 48.894 14.4374 250 7.44766
