new_node_id_1 new_node_id_2 length road_type
48 49 0.056143 m
71 72 0.081938 m
73 74 0.006897 m
79 80 0.027705 m
93 94 0.17476 m
113 114 0.231919 m
122 123 0.011608 m
129 130 0.15343 m
130 131 0.24222 m
132 133 0.06533 m
181 182 0.270102 m
302 303 0.025539 m
326 327 0.017077 m
341 342 0.061633 m
342 343 0.077952 m
353 354 0.073677 m
369 370 0.00895 m
378 379 0.053141 m
392 393 0.029903 m
439 440 0.20346 m
449 450 0.029982 m
458 459 0.039769 m
560 561 0.07851 m
576 577 0.037089 m
645 646 0.113413 m
88 678 0.032477 m
681 682 0.076611 m
699 701 0.025094 m
123 705 0.091254 m
707 708 0.020263 m
750 751 0.022436 m
128 752 0.034469 m
777 778 0.037266 m
787 789 0.029205 m
801 802 0.031535 m
815 816 0.032624 m
838 839 0.040709 m
891 892 0.010146 m
915 916 0.037068 m
945 946 0.029658 m
957 958 0.014578 m
971 972 0.011801 m
979 980 0.011817 m
1008 1009 0.031385 m
1053 1054 0.027194 m
1083 1084 0.077664 m
1091 1103 0.04507 m
1123 1124 0.018463 m
1123 1127 0.02214 m
1140 1141 0.01184 m
1148 1149 0.008976 m
1171 1172 0.052662 m
1197 1198 0.023835 m
1224 1228 0.043441 m
1250 1252 0.015527 m
1000 1261 0.011112 m
1262 1263 0.032449 m
1279 1280 0.029352 m
1282 1283 0.249568 m
1313 1314 0.011618 m
1351 1352 0.041573 m
1359 1360 0.014272 m
1404 1405 0.058323 m
1403 1406 0.06481 m
1409 1412 0.023093 m
1420 1421 0.133796 m
1424 1425 0.036023 m
1429 1437 0.034778 m
1432 1441 0.014489 m
1546 1547 0.011162 m
1548 1549 0.078009 m
1560 1563 0.187971 m
1574 1575 0.008768 m
1610 1611 0.006864 m
1612 1613 0.009054 m
1644 1646 0.050125 m
1721 1722 0.013841 m
768 1730 0.068797 m
132 768 0.303147 m
1771 1772 0.249193 m
1785 1786 0.054625 m
460 1788 0.195617 m
1791 1792 0.00989 m
1900 1902 0.113828 m
1311 1312 0.174907 m
436 1918 0.01606 m
1934 1935 0.040604 m
